task,training_samples,best_model,cv_mae,cv_mae_std,cv_rmse,cv_rmse_std
FFV,7892,xgboost,0.00563443313749686,0.00033136431180364243,0.011068307899239285,0.0018549893543769447
Tc,1611,xgboost,0.01443439112688901,0.002007773501650952,0.05015151369882204,0.025230355374778607
Density,613,xgboost,0.03026529628864641,0.0037052197964864654,0.05430325334770163,0.007818149775423893
Rg,614,lightgbm,1.704521924904731,0.09226576302537792,2.4646342706677067,0.12866719026151072
Tg,557,lightgbm,53.482888301317566,4.288457347826678,69.37541022382858,6.957770290846173
