Task,Model,Best_Val_MAE,Final_Train_Loss,Final_Val_Loss,Num_Epochs,Num_Parameters
Tg,GAT,0.5035726726055145,0.7002950310707092,0.1486927717924118,23,N/A
FFV,GAT,0.16160103352740407,0.44967010617256165,0.05249302089214325,11,N/A
Tc,GAT,0.29392772540450096,0.2945452630519867,0.07376381754875183,11,N/A
Density,GAT,0.39894854137673974,0.2326044738292694,0.15198279917240143,11,N/A
Rg,GAT,0.3102642856538296,0.160371333360672,0.07119379937648773,11,N/A
