Task,Model,Best_Val_MAE,Final_Train_Loss,Final_Val_Loss,Num_Epochs,Model_Type
Tg,CUSTOM_Transformer,0.11865346832200885,0.17673403024673462,0.06719990819692612,30,custom
FFV,CUSTOM_Transformer,0.261726513504982,0.37753430008888245,0.24764133989810944,12,custom
Tc,CUSTOM_Transformer,0.10286880098283291,0.0902072936296463,0.052635397762060165,31,custom
Density,CUSTOM_Transformer,0.1300300881266594,0.10603061318397522,0.0749758780002594,40,custom
Rg,CUSTOM_Transformer,0.13504884205758572,0.18645426630973816,0.05149281024932861,17,custom
